ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
ace up your sleeve,"Carta na manga
","Ace in the hole
",45,46,353,472,646,601,321,2484
an open book,"Um livro aberto
","An open book
",1,46,3,157,135,40,1,383
She is giving a presentation at work.,"Ela está apresentando no trabalho.
","She is presenting at work.
",23,46,174,376,438,585,42,1684
He went to a birthday party last night.,"Ele foi a uma festa de aniversário ontem à noite.
","He went to a birthday party last night.
",1,1,3,163,47,315,1,531
color outside the lines,"Colorir fora das linhas
","Color outside the lines
",1,46,5,187,194,495,85,1013
easy as pie,"Fácil como uma torta.
","Easy as pie.
",1,46,168,253,146,211,1,826
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,46,3,146,291,502,66,1055
change of heart,"Mudança de coração
","Change of heart
",1,46,3,213,312,180,36,791
food for thought,"Comida para pensar
","Food for thought
",1,46,3,237,241,80,1,609
black as night,"Negro como a noite
","Black as night
",1,46,4,183,12,406,1,653
a chip on your shoulder,"Rancor.
","Rancor.
",52,46,442,622,687,625,354,2828
close to my heart,"Perto do meu coração.
","Close to my heart.
",1,46,149,26,286,92,1,601
apple of my eye,"A menina dos meus olhos
","Apple of my eye
",1,46,3,193,350,630,230,1453
get the show on the road,"Começar o show.
","Start the show.
",36,46,281,484,488,357,158,1850
easy as pie,"Fácil como uma torta.
","Easy as pie.
",1,46,168,253,146,211,1,826
back to square one,"De volta à estaca zero
","Back to square one
",1,46,3,226,52,259,1,588
devil's advocate,"Advogado do diabo
","Devil's advocate
",1,46,3,269,315,147,1,782
She went to the library to study.,"Ela foi à biblioteca para estudar.
","She went to the library to study.
",1,1,3,214,124,233,1,577
fit as a fiddle,"Em ótima forma.
","In great shape.
",52,46,403,553,543,487,250,2334
They went to the theater to watch a play.,"Eles foram ao teatro para assistir a uma peça.
","They went to the theater to see a play.
",8,18,11,311,182,143,1,674
falling through the cracks,"Caindo pelas frestas
","Falling through the cracks
",1,46,3,218,232,607,125,1232
She made breakfast for the family.,"Ela preparou o café da manhã para a família.
","She made breakfast for the family.
",1,1,3,166,106,161,1,439
She is talking on the phone.,"Ela está falando ao telefone.
","She is talking on the phone.
",1,1,3,40,54,105,1,205
all bark and no bite,"Só ladra, mas não morde.
","She barks, but she doesn't bite.
",51,46,346,487,495,576,211,2212
apple of discord,"Maçã da discórdia
","Apple of discord
",1,46,3,231,297,637,176,1391
spill the beans,"Contar tudo
","Tell all
",52,46,395,486,581,474,363,2397
burn your bridges,"Queime as pontes.
","Burn the bridges.
",23,46,243,429,361,571,1,1674
I need to buy groceries this afternoon.,"Preciso comprar mantimentos esta tarde.
","I need to buy groceries this afternoon.
",1,1,3,47,26,346,1,425
as bold as brass,"Descarado como o latão.
","Brazen as brass.
",29,46,292,586,506,673,319,2451
close to the vest,"Guardar segredo.
","Keep a secret.
",52,46,424,631,566,265,231,2215
blood is thicker than water,"Sangue do meu sangue.
","Blood of my blood.
",46,46,316,661,607,424,384,2484
back to the drawing board,"De volta à prancheta.
","Back to the drawing board.
",1,28,112,17,262,523,49,992
She went to the post office to send a package.,"Ela foi aos correios para enviar um pacote.
","She went to the post office to send a package.
",1,1,3,228,156,126,1,516
as right as rain,"Em perfeita ordem
","In perfect order
",52,46,468,575,549,158,345,2193
He is planning his day ahead.,"Ele está planejando o dia dele.
","He's planning his day.
",20,46,131,443,364,377,1,1382
She took a shower in the morning.,"Ela tomou banho de manhã.
","She took a shower in the morning.
",1,1,4,162,39,101,1,309
best of both worlds,"O melhor dos dois mundos.
","The best of both worlds.
",7,28,198,232,170,219,1,855
antsy as a cat on a hot tin roof,"Nervoso como gato em telhado de lata quente.
","Nervous as a cat on a hot tin roof.
",8,6,161,378,384,493,206,1636
He is building a model airplane.,"Ele está construindo um avião de brinquedo.
","He is building a toy airplane.
",11,30,53,380,334,78,1,887
devil's advocate,"Advogado do diabo
","Devil's advocate
",1,46,3,269,315,147,1,782
burst your bubble,"Estragar a festa
","Ruin the party
",52,46,324,578,540,297,288,2125
all eyes on you,"Todos os olhos em você.
","All eyes on you.
",1,46,128,13,239,365,36,828
a skeleton in the closet,"Um segredo sujo.
","A dirty secret.
",45,46,361,602,583,102,237,1976
He is attending a business meeting.,"Ele está participando de uma reunião de negócios.
","He is attending a business meeting.
",1,1,2,52,50,376,1,483
cool as a cucumber,"Calmo como um pepino.
","Cool as a cucumber.
",1,46,77,171,373,141,1,810
He took the bus to work.,"Ele pegou o ônibus para o trabalho.
","He took the bus to work.
",1,1,3,81,109,142,1,338
as easy as pie,"Tão fácil quanto uma torta.
","As easy as pie.
",1,46,135,93,91,225,36,627
butterfly effect,"Efeito borboleta
","Butterfly effect
",1,46,5,346,331,292,1,1022
They watched a TV show in the evening.,"Eles assistiram a um programa de TV à noite.
","They watched a TV show at night.
",23,31,104,349,335,307,36,1185
She is brushing her teeth before bed.,"Ela está escovando os dentes antes de dormir.
","She is brushing her teeth before bed.
",1,1,3,43,65,64,1,178
blown out of the water,"Superado completamente
","Completely overcome
",52,46,387,625,595,527,291,2523
He is feeding his pet hamster.,"Ele está alimentando seu hamster de estimação.
","He is feeding his pet hamster.
",1,1,3,132,51,255,1,444
I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
","I like to drink coffee in the morning.
",1,1,2,103,53,27,1,188
"another day, another dollar","Mais um dia, mais um dólar.
","Another day, another dollar.
",1,28,152,206,195,89,1,672
actions speak louder than words,"Ações valem mais que palavras.
","Actions speak louder than words.
",1,28,119,38,168,81,1,436
climbing up the ladder,"Subindo na vida.
","Making progress.
",52,46,411,527,574,642,247,2499
early bird catches the worm,"Deus ajuda quem cedo madruga.
","God helps those who help themselves.
",52,46,449,665,686,581,380,2859
She is baking cookies in the kitchen.,"Ela está assando biscoitos na cozinha.
","She is baking cookies in the kitchen.
",1,1,4,108,95,466,83,758
bleeding heart,"Coração mole
","Soft heart
",33,46,258,645,590,53,285,1910
She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
","She is cleaning the kitchen after dinner.
",1,1,3,34,129,166,1,335
She is drinking water.,"Ela está bebendo água.
","She is drinking water.
",1,1,3,71,7,51,1,135
They are having coffee at the café.,"Eles estão tomando café no café.
","They are drinking coffee at the café.
",10,23,31,322,276,82,1,745
hard pill to swallow,"Verdade difícil de engolir
","Tough pill to swallow
",19,46,61,283,403,452,36,1300
a slap on the wrist,"Uma bronca leve
","A mild scolding
",45,46,352,494,563,583,295,2378
They are visiting a museum this afternoon.,"Eles estão visitando um museu esta tarde.
","They are visiting a museum this afternoon.
",1,1,4,98,42,104,36,286
They are swimming at the pool.,"Eles estão nadando na piscina.
","They are swimming in the pool.
",11,46,30,310,208,35,1,641
cat on a hot tin roof,"Gata em Telhado de Zinco Quente
","Cat on a Hot Tin Roof
",1,46,3,281,420,464,170,1385
She is talking to her friend on the phone.,"Ela está falando com sua amiga no telefone.
","She is talking to her friend on the phone.
",1,1,3,179,108,31,36,359
He is walking his dog in the park.,"Ele está passeando com o cachorro no parque.
","He is walking the dog in the park.
",9,22,54,404,328,220,1,1038
add fuel to the fire,"Botar lenha na fogueira
","To add fuel to the fire
",5,6,78,292,321,361,130,1193
in hot water,"Em maus lençóis
","In deep trouble
",41,46,308,680,625,554,361,2615
boiling point,"Ponto de ebulição
","Boiling point
",1,46,3,289,147,132,1,619
beat a dead horse,"Bater em cachorro morto.
","Beating a dead horse.
",19,46,186,351,414,621,129,1766
blind alley,"Beco sem saída
","Dead end
",52,46,303,490,591,538,303,2323
cutting corners,"Fazer as coisas pela metade
","To do things halfway
",52,46,367,627,626,589,298,2605
actions speak louder than words,"Ações valem mais que palavras.
","Actions speak louder than words.
",1,28,119,38,168,81,1,436
chip on the shoulder,"Rancor
","Bitterness
",52,46,448,640,639,627,368,2820
He washed his car yesterday.,"Ele lavou o carro dele ontem.
","He washed his car yesterday.
",1,1,3,119,18,103,1,246
cold as ice,"Frio como gelo
","Cold as ice
",1,46,3,80,58,119,1,308
He is attending a wedding.,"Ele está indo a um casamento.
","He is going to a wedding.
",20,46,176,406,367,192,1,1208
He is making a cup of coffee.,"Ele está fazendo uma xícara de café.
","He's making a cup of coffee.
",10,13,59,282,301,289,1,955
chasing shadows,"Perseguindo sombras
","Chasing shadows
",1,46,3,250,166,374,36,876
feast your eyes,"Delicie seus olhos
","Feast your eyes
",1,46,3,277,134,261,135,857
a diamond in the rough,"Um diamante bruto.
","A rough diamond.
",33,46,239,450,428,253,162,1611
He is having breakfast with his family.,"Ele está tomando café da manhã com a família dele.
","He is having breakfast with his family.
",1,1,3,59,31,298,1,394
blind as a bat,"Cego como um morcego.
","Blind as a bat.
",1,46,137,5,363,520,113,1185
light at the end of the tunnel,"Luz no fim do túnel
","Light at the end of the tunnel
",1,3,3,251,193,54,1,506
as old as the hills,"Tão velho quanto as colinas
","As old as the hills
",1,16,3,155,82,352,15,624
break the ice,"Quebrar o gelo
","Break the ice
",1,46,3,278,244,120,36,728
He went for a jog in the morning.,"Ele foi correr de manhã.
","He went for a run in the morning.
",9,22,134,372,271,273,1,1082
finding your feet,"Adaptando-se
","Adapting
",52,46,439,619,613,479,280,2528
give someone a run for their money,"Dar trabalho a alguém.
","To give someone work.
",39,46,299,650,557,70,239,1900
have a bone to pick,"Ter algo a reclamar
","To have something to complain about
",40,46,315,568,524,470,222,2185
barking up the wrong tree,"Estar a bater na porta errada.
","You're barking up the wrong tree.
",12,21,219,444,444,594,218,1952
He enjoyed a cup of coffee in the morning.,"Ele apreciou uma xícara de café pela manhã.
","He enjoyed a cup of coffee in the morning.
",1,1,3,190,155,339,1,690
ball is in your court,"A bola está no seu campo.
","The ball is in your court.
",5,21,178,46,191,328,9,778
"blood, sweat, and tears","Sangue, suor e lágrimas
","Blood, sweat, and tears
",1,6,3,210,8,75,1,304
going down in flames,"Indo para o fundo em chamas
","Going down in flames
",1,46,3,23,260,597,120,1050
break a leg,"Boa sorte!
","Good luck!
",52,46,473,683,630,169,175,2228
The kids played in the playground.,"As crianças brincaram no parquinho.
","The children played at the playground.
",23,46,74,369,258,345,1,1116
change of tune,"Mudança de tom
","Change of tone
",23,46,205,422,341,94,36,1167
paint the town red,"Tornar a noite agitada
","Make the night eventful.
",45,46,368,565,521,518,317,2380
burnt out,"Esgotado
","Out of stock
",38,46,366,562,615,396,192,2215
burning the midnight oil,"Queimando pestana
","Burning the midnight oil
",1,46,4,254,296,660,220,1481
come out of the woodwork,"Aparecer do nada.
","To appear out of nowhere.
",37,46,350,559,525,534,307,2358
blessing in disguise,"Mal que vem para o bem.
","Every cloud has a silver lining.
",52,46,408,642,611,669,275,2703
He is cutting vegetables for dinner.,"Ele está cortando vegetais para o jantar.
","He is chopping vegetables for dinner.
",11,30,22,287,409,348,46,1153
bigger than life,"Maior que a vida
","Larger than life
",23,46,47,327,292,367,36,1138
cast iron stomach,"Estômago de aço
","Iron stomach
",14,46,191,448,491,185,114,1489
arm and a leg,"Um braço e uma perna
","An arm and a leg
",7,16,64,399,359,22,31,898
as hungry as a wolf,"Faminto como um lobo.
","Hungry as a wolf.
",7,46,213,423,415,545,202,1851
They went for a swim at the pool.,"Eles foram nadar na piscina.
","They went swimming in the pool.
",29,46,159,389,376,10,1,1010
blow a fuse,"Ficar furioso
","To fly into a rage
",45,46,314,618,556,561,322,2462
He is drawing a picture of his dog.,"Ele está desenhando um retrato do seu cachorro.
","He is drawing a portrait of his dog.
",9,22,58,328,255,195,1,868
bend over backwards,"Se esforçar ao máximo
","To give it your all
",52,46,397,682,689,546,351,2763
any port in a storm,"Qualquer porto em tempestade.
","Any port in a storm.
",1,28,94,290,279,371,1,1064
I met my friends for lunch.,"Encontrei meus amigos para almoçar.
","I met my friends for lunch.
",1,1,1,174,15,258,1,451
bare bones,"O essencial
","The essential
",52,46,399,667,571,304,358,2397
bottom of the totem pole,"No fim da hierarquia.
","At the bottom of the hierarchy.
",31,46,325,582,561,370,189,2104
face the music,"Assumir as consequências
","Face the consequences.
",23,46,282,572,486,476,26,1911
chomping at the bit,"Morrendo de vontade
","Dying to
",52,46,371,641,685,671,395,2861
on cloud nine,"Nas nuvens
","In the clouds
",52,46,335,536,600,550,332,2451
between a rock and a hard place,"Entre a cruz e a espada
","Between a rock and a hard place
",1,3,3,185,400,620,251,1463
batten down the hatches,"Abaixar as escotilhas.
","""Batten down the hatches.""
",1,46,181,312,443,483,167,1633
all ears,"Todo ouvidos
","All ears
",1,46,2,302,268,578,97,1294
a fly on the wall,"Uma mosca na parede
","A fly on the wall
",1,16,4,160,175,330,51,737
as sharp as a tack,"Esperto como uma raposa.
","As cunning as a fox.
",28,46,251,554,528,501,270,2178
She bought a new phone last week.,"Ela comprou um telefone novo na semana passada.
","She bought a new phone last week.
",1,1,3,126,22,5,1,159
don't put all your eggs in one basket,"Não coloque todos os ovos na mesma cesta.
","Don't put all your eggs in one basket.
",1,10,56,12,202,282,1,564
bottom of the barrel,"O fundo do poço
","The bottom of the barrel
",7,16,71,225,366,431,118,1234
carrying the weight of the world,"Carregando o peso do mundo.
","Carrying the weight of the world.
",1,21,110,270,316,565,1,1284
cogs in the machine,"Peças da engrenagem
","Gear pieces
",52,46,339,471,570,383,326,2187
I am traveling to the mountains this weekend.,"Eu vou viajar para as montanhas este fim de semana.
","I am going to travel to the mountains this weekend.
",16,26,65,297,209,269,1,883
They watched a movie on the weekend.,"Eles assistiram a um filme no fim de semana.
","They watched a movie on the weekend.
",1,1,4,121,81,52,1,261
blowing off steam,"Desabafando
","Unburdening
",52,46,330,539,612,572,289,2440
face the music,"Arrumar a casa
","Clean the house
",41,46,319,647,545,137,271,2006
a heart of gold,"Um coração de ouro.
","A heart of gold.
",1,46,155,148,261,83,17,711
caught in a web,"Preso em uma teia
","Caught in a web
",1,46,3,257,398,204,82,991
She made a salad for lunch.,"Ela fez uma salada para o almoço.
","She made a salad for lunch.
",1,1,4,175,41,25,1,248
mind over matter,"Mente sobre matéria
","Mind over matter
",1,46,2,239,265,499,35,1087
as good as done,"Praticamente feito.
","Pretty much done.
",42,46,356,468,473,207,1,1593
a voice in the wilderness,"Uma voz no deserto
","A voice in the wilderness
",1,16,3,272,187,165,1,645
He went to the gym to lift weights.,"Ele foi à academia para levantar pesos.
","He went to the gym to lift weights.
",1,1,3,220,142,247,1,615
another one bites the dust,"Mais um se foi.
","Another one bites the dust.
",1,28,81,14,287,533,182,1126
curiosity killed the cat,"A curiosidade matou o gato.
","Curiosity killed the cat.
",1,46,132,83,337,90,1,690
by leaps and bounds,"A olhos vistos
","Visibly
",52,46,415,608,692,603,391,2807
They are practicing their dance routine.,"Eles estão ensaiando sua rotina de dança.
","They are rehearsing their dance routine.
",11,30,105,393,285,354,1,1179
honest as the day is long,"Honesto como a luz do dia.
","Honest as the day is long.
",1,21,109,168,351,580,54,1284
butter wouldn’t melt in their mouth,"Não ter sangue de barata.
","Don't be a pushover.
",51,46,404,670,680,647,400,2898
be in hot water,"Estar em maus lençóis
","To be in a tight spot
",38,46,293,596,633,602,359,2567
by the seat of your pants,"Na raça.
","By hook or by crook.
",50,46,401,623,694,645,403,2862
comfort zone,"Zona de conforto
","Comfort zone
",1,46,5,294,169,133,1,649
give the green light,"Dar o sinal verde
","Give the green light
",1,46,3,244,151,482,40,967
fingers crossed,"Dedos cruzados
","Fingers crossed
",1,46,6,167,67,77,36,400
He went to the airport to catch a flight.,"Ele foi ao aeroporto para pegar um voo.
","He went to the airport to catch a flight.
",1,1,3,197,163,301,36,702
as mad as a hatter,"Louco como um chapeleiro.
","Mad as a hatter.
",7,46,196,400,482,633,190,1954
cracking the whip,"Mandando no pedaço
","Calling the shots
",41,46,291,521,547,584,335,2365
He is reading a newspaper.,"Ele está lendo um jornal.
","He is reading a newspaper.
",1,1,3,120,66,28,1,220
as easy as shooting fish in a barrel,"Tão fácil quanto atirar em peixes num barril.
","As easy as shooting fish in a barrel.
",1,10,52,131,294,262,99,849
He is taking photos with his camera.,"Ele está tirando fotos com sua câmera.
","He is taking pictures with his camera.
",10,29,8,260,153,308,1,769
ants in your pants,"Bichos-carpinteiros no traseiro.
","Woodpeckers in the rear.
",45,46,428,628,678,651,355,2831
He is cleaning the windows.,"Ele está limpando as janelas.
","He is cleaning the windows.
",1,1,3,70,132,439,21,667
clean bill of health,Atestado de saúde,"Health certificate
",41,46,334,503,460,163,226,1773
cold feet,"Pé frio
","Cold feet
",1,46,4,296,237,399,34,1017
burn bridges,"Queimar pontes
","Burn bridges
",1,46,3,303,250,13,36,652
cat's out of the bag,"O gato saiu da sacola.
","The cat is out of the bag.
",18,41,193,333,411,266,177,1439
bury your head in the sand,"Enterrar a cabeça na areia.
","Bury your head in the sand.
",1,21,108,67,342,385,91,1015
He read a book before bed.,"Ele leu um livro antes de dormir.
","He read a book before bed.
",1,1,3,141,84,128,1,359
bridge the gap,"Preencher a lacuna
","Fill the gap
",23,46,224,430,404,652,36,1815
He went to the doctor for a check-up.,"Ele foi ao médico para um check-up.
","He went to the doctor for a check-up.
",1,1,3,203,138,323,1,670
She is watching the sunset from the balcony.,"Ela está assistindo o pôr do sol da varanda.
","She is watching the sunset from the balcony.
",1,1,3,135,120,417,1,678
blessing in disguise,"Benção disfarçada
","Blessing in disguise
",1,46,3,265,307,327,36,985
a penny for your thoughts,"Um centavo pelos seus pensamentos.
","A penny for your thoughts.
",1,28,99,42,206,149,18,543
He is playing the guitar in the living room.,"Ele está tocando guitarra na sala de estar.
","He is playing guitar in the living room.
",2,15,16,291,179,155,1,659
He is sitting on the chair.,"Ele está sentado na cadeira.
","He is sitting on the chair.
",1,1,3,60,136,226,1,428
come hell or high water,"Custe o que custar
","Come what may.
",45,46,342,658,631,508,315,2545
I went to the beach for vacation.,"Eu fui à praia para as férias.
","I went to the beach for vacation.
",1,1,3,172,90,250,1,518
as cool as a cucumber,"Calmo como um pepino.
","Cool as a cucumber.
",7,46,190,359,413,141,102,1258
break the ice,"Quebrar o gelo
","Break the ice
",1,46,3,278,244,120,36,728
at the end of the day,"No fim das contas
","Ultimately
",52,46,457,583,586,530,329,2583
can't see the forest for the trees,"Não conseguir ver a floresta por causa das árvores.
","Can't see the forest for the trees.
",1,14,49,266,302,517,45,1194
He is doing his homework in the study room.,"Ele está fazendo o dever de casa no escritório.
","He is doing homework in the office.
",19,46,143,437,375,191,153,1364
They planted flowers in the garden.,"Eles plantaram flores no jardim.
","They planted flowers in the garden.
",1,1,3,215,83,24,1,328
They are making pizza together.,"Eles estão fazendo pizza juntos.
","They are making pizza together.
",1,1,3,49,4,244,1,303
blown out of proportion,"Fora de proporção
","Out of proportion
",10,46,206,434,372,335,194,1597
hand in glove,"De mãos dadas
","Hand in hand
",23,46,222,3,555,368,115,1332
birds of a feather flock together,"Semelhante atrai semelhante.
","Like attracts like.
",52,46,423,649,688,300,390,2548
get out of hand,"Sair do controle
","Lose control
",52,46,340,474,494,507,160,2073
He called his parents yesterday.,"Ele ligou para os pais dele ontem.
","He called his parents yesterday.
",1,1,5,192,23,173,1,396
He wrote a letter to his friend.,"Ele escreveu uma carta para o amigo dele.
","He wrote a letter to his friend.
",1,1,3,229,110,50,1,395
She danced at the party last night.,"Ela dançou na festa ontem à noite.
","She danced at the party last night.
",1,1,3,204,87,314,1,611
close to home,"Perto de casa
","Near home
",38,46,177,345,447,85,36,1174
"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da cozinha.
","If you can't stand the heat, get out of the kitchen.
",1,2,32,41,242,208,1,527
between the devil and the deep blue sea,"Entre a cruz e a espada
","Between a rock and a hard place
",44,46,285,676,655,620,362,2688
get cold feet,"Sentir medo (de última hora)
","To get cold feet (at the last minute)
",31,46,255,475,535,575,256,2173
fish out of water,"Peixe fora d'água
","Fish out of water
",1,46,4,152,221,463,1,888
over the moon,"Nas nuvens
","In the clouds
",41,46,261,542,582,551,331,2354
once in a blue moon,"Raramente
","Rarely
",52,46,420,634,572,389,334,2447
chip off the old block,"Filho de peixe, peixinho é.
","Like father, like son.
",52,46,450,673,691,664,399,2975
break the mold,"Romper com os padrões
","Break the mold.
",1,46,187,188,181,541,7,1151
ace in the hole,"Trunfo na manga
","Ace in the hole
",1,46,3,284,439,484,144,1401
She is gardening in the backyard.,"Ela está jardinando no quintal.
","She is gardening in the backyard.
",1,1,3,33,97,393,1,529
blind as a bat,"Cego como um morcego.
","Blind as a bat.
",1,46,137,5,362,520,113,1184
call it a day,"Dar por encerrado o expediente
","To close the workday.
",52,46,384,635,533,612,306,2568
calm before the storm,"Calmaria antes da tempestade.
","Calm before the storm.
",1,46,117,207,339,224,80,1014
He attended a wedding last weekend.,"Ele foi a um casamento no fim de semana passado.
","He went to a wedding last weekend.
",18,24,75,371,318,277,1,1084
chill to the bone,"Arrepiante
","Hair-raising
",52,46,455,584,658,676,389,2860
broad strokes,"Em linhas gerais
","Generally speaking
",52,46,435,607,507,359,281,2287
She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
","She is listening to music while cooking.
",1,1,4,76,28,33,1,144
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,46,3,146,291,502,66,1055
all thumbs,"Desastrado
","Clumsy
",52,46,376,611,603,616,375,2679
chip on your shoulder,"Rancor.
","Bitterness.
",52,46,445,664,635,631,339,2812
chase rainbows,"Correr atrás de arco-íris
","Chasing rainbows
",33,46,162,339,349,411,36,1376
"hope for the best, prepare for the worst","Esperar o melhor, preparar-se para o pior.
","Hope for the best, prepare for the worst.
",1,6,45,92,198,209,1,552
get a grip,"Controle-se
","Control yourself.
",52,46,419,459,469,556,272,2273
finger on the pulse,"Estar por dentro
","To be in the know
",46,46,375,643,621,460,278,2469
ball of fire,"Bola de fogo
","Fireball
",52,46,302,414,401,189,107,1511
He is making tea in the kitchen.,"Ele está fazendo chá na cozinha.
","He is making tea in the kitchen.
",1,1,5,94,75,95,1,272
bite your lip,"Morder o lábio
","To bite one's lip
",33,46,271,425,515,555,246,2091
live in a glass house,"Morar em casa de vidro
","Living in a glass house
",13,16,93,363,324,9,1,819
into thin air,"No ar rarefeito
","In the rarefied air
",42,46,267,508,605,592,178,2238
don’t cry over spilled milk,"Não chore sobre o leite derramado.
","Don't cry over spilt milk.
",11,46,216,387,323,237,1,1221
don't count your chickens before they hatch,"Não conte com o ovo no cu da galinha.
","Don't count your chickens before they hatch.
",1,14,66,95,304,646,103,1229
close to my heart,"Perto do meu coração
","Near my heart
",29,46,144,357,429,391,38,1434
He went fishing with his friends.,"Ele foi pescar com seus amigos.
","He went fishing with his friends.
",1,1,3,219,44,121,1,390
as clear as mud,"Mais claro que lama.
","Clear as mud.
",10,46,223,348,360,422,84,1493
be a fly on the wall,"Ser uma mosca na parede
","To be a fly on the wall
",4,3,82,352,370,375,172,1358
changing gears,"Mudando de marcha
","Shifting gears
",33,46,55,340,450,467,36,1427
call it quits,"Desistir
","Give up.
",52,46,322,436,470,657,293,2276
bottom line,"Resultado final
","Final result
",52,46,374,476,508,174,77,1707
bet the farm,"Apostar tudo
","Bet it all
",41,46,287,543,501,190,274,1882
as free as a bird,"Livre como um pássaro.
","Free as a bird.
",7,46,208,364,344,351,36,1356
flying by the seat of your pants,"Voando no improviso
","Flying by the seat of my pants
",10,34,84,428,423,650,292,1921
chasing your tail,"Correndo atrás do próprio rabo
","Chasing your own tail
",10,46,113,382,392,432,180,1555
She plays the piano beautifully.,"Ela toca piano lindamente.
","She plays the piano beautifully.
",1,1,4,161,29,49,1,246
heart of stone,"Coração de pedra
","Stone heart
",38,46,260,469,430,18,131,1392
They are going to the cinema tonight.,"Eles vão ao cinema hoje à noite.
","They are going to the movies tonight.
",10,23,87,360,196,268,1,945
a taste of your own medicine,"Um pouco do seu próprio veneno.
","A taste of your own medicine.
",1,21,107,143,281,390,1,944
break the ice,"Quebrar o gelo
","Break the ice
",1,46,3,278,244,120,36,728
cloud of suspicion,"Nuvem de suspeitas
","Cloud of suspicion
",1,46,3,264,158,19,1,492
diamond in the rough,"Diamante bruto
","Rough diamond
",41,46,273,502,459,26,252,1599
beat the clock,"Vencer o tempo
","Beating time
",52,46,290,458,589,320,145,1900
He is repairing the broken chair.,"Ele está consertando a cadeira quebrada.
","He is fixing the broken chair.
",11,30,18,306,289,203,1,858
She is watching a movie at the theater.,"Ela está assistindo a um filme no cinema.
","She is watching a movie at the cinema.
",9,7,21,365,245,186,1,834
a penny saved is a penny earned,"Um centavo poupado é um centavo ganho.
","A penny saved is a penny earned.
",1,14,39,199,210,129,59,651
He cleaned the garage on Saturday.,"Ele limpou a garagem no sábado.
","He cleaned the garage on Saturday.
",1,1,3,109,116,449,13,692
a fish out of water,"Um peixe fora d'água
","A fish out of water
",1,16,3,68,171,38,1,298
down to earth,"Pé no chão
","Down to earth
",1,46,3,85,205,279,57,676
happy as a clam,"Feliz da vida
","Happy as can be
",33,46,311,537,527,526,199,2179
He visited the museum with his class.,"Ele visitou o museu com a turma dele.
","He visited the museum with his class.
",1,1,5,235,133,284,1,660
I visited my parents last weekend.,"Visitei meus pais no fim de semana passado.
","I visited my parents last weekend.
",1,1,3,184,14,68,1,272
by the skin of your teeth,"Por um triz.
","By a hair.
",47,46,321,636,683,643,340,2716
crack the code,"Decifrar o código
","Decode the code
",23,46,229,415,345,239,36,1333
He watched a football match on TV.,"Ele assistiu a uma partida de futebol na TV.
","He watched a soccer game on TV.
",21,46,36,426,247,160,1,937
climbing the corporate ladder,"Subindo na carreira.
","Climbing the career ladder.
",19,46,214,465,371,400,48,1563
